"attr_code";"area_code";"value";"ts_start";"ts"
"Blochholz Buche Kl. B 3";"Österreich";"76.37";"2015-04-01";"1427846400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"94.24";"2015-04-01";"1427846400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"93.76";"2015-04-01";"1427846400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"71.54";"2015-04-01";"1427846400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"92.52";"2015-05-01";"1430438400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"91.5";"2015-05-01";"1430438400000"
"Blochholz Buche Kl. B 3";"Österreich";"82.91";"2015-05-01";"1430438400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.85";"2015-05-01";"1430438400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"90.3";"2015-06-01";"1433116800000"
"Blochholz Buche Kl. B 3";"Österreich";"82.91";"2015-06-01";"1433116800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"90.64";"2015-06-01";"1433116800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.63";"2015-06-01";"1433116800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"90.85";"2015-07-01";"1435708800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.7";"2015-07-01";"1435708800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"90.94";"2015-07-01";"1435708800000"
"Blochholz Buche Kl. B 3";"Österreich";"82.91";"2015-07-01";"1435708800000"
"Blochholz Buche Kl. B 3";"Österreich";"82.91";"2015-08-01";"1438387200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.63";"2015-08-01";"1438387200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"90.56";"2015-08-01";"1438387200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"90.72";"2015-08-01";"1438387200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"90.5";"2015-09-01";"1441065600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"90.08";"2015-09-01";"1441065600000"
"Blochholz Buche Kl. B 3";"Österreich";"82.91";"2015-09-01";"1441065600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"69.41";"2015-09-01";"1441065600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"88.87";"2015-10-01";"1443657600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"68.97";"2015-10-01";"1443657600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"87.73";"2015-10-01";"1443657600000"
"Blochholz Buche Kl. B 3";"Österreich";"76.37";"2015-10-01";"1443657600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"88.29";"2015-11-01";"1446336000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"66.59";"2015-11-01";"1446336000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"89.08";"2015-11-01";"1446336000000"
